Company,Company Aliases,Website,Company Structure,Date of Legal Structure,Primary Company Contact,Secondary Company Contact,Key Faculty Founder,Key Faculty Founder 2,Billing Address Line 1,Billing City,Billing State/Province,Billing Zip/Postal Code,County if NC,Company email,Phone,Description,Comments (Public),Comments (Private),Company Exit,Company Exit Date,Company Exit 2,Company Exit 2 Date
ACRIS Pharmaceuticals LLC,,http://acrispharma.com/,LLC - Limited Liability,5/8/2013,James W Crow,David Mottola,,,321 W Rosemary St,Chapel Hill,North Carolina,27516,Orange,,(919) 355-6405,ACRIS Pharmaceuticals is a private biopharmaceutical company among a new faction of ventures that believe philanthropy should be a core component of its business model.,incorporated NC; annual report 2/22/2017; articles of dissolution filed 10/27/2017,,"Liquidation, close down",10/27/2017,,
Acta Solutions LLC,CIVoICe LLC,https://www.actasolutions.io/,LLC - Limited Liability,2/1/2018,Tai T Huynh,,,,136 East Rosemary Suite 100,Chapel Hill,North Carolina,27514,Orange,tai@acta.solutions,(919) 537-9711,"We provide engagement platforms for local governments. Acta is a social venture aimed at increasing participation in local government by leveraging technology. We power a digital platform that municipalities can use to better engage their citizens. Through this technology, we are reinventing the passive flow of information to create a personalized, easily-digestible policy/news update platform that citizens receive based on their interest areas and can respond to. We consciously include marginalized populations in the policy decision-making process as they have been typically left out of civic engagement campaigns. We seek to inform, consult, collaborate, and empower citizens to make their voice heard. By compiling data on who is using our platform, we show local governments which communities they are reaching, and which demographics they have yet to reach. From this information, municipalities can further understand how various groups of citizens in their city are reacting to new and proposed policy, zoning laws, regulations, etc. Our goals are to empower local government to engage all of their constituents, remove the barriers of participation for disadvantaged communities, and foster a healthier civic life for all.",,"NC Annual report 6/18/19, Jen Lai 7/15/19. Annual report 3/25/20, JL 6/1/20. NC AR 2/3/21- JL 7/20/21. Converted to a business corporation (4/1/2022). NC Sec State website status is ""Current-Active"", website is active - 6-24-22 - Tiffany. Current - Active on NC site, last annual report filed 6/15/23 , website active (Juliana, 5/15/23) NC SoS Status ?Current- Active?, AR filed 4/15/24, website active (John 5/31/24).",,,,
Activate Kids,"Activate Kids, Cooking Up Character, Activate Good",https://activategood.org/take-action/youth-families-and-schools/activate-kids/,501c,10/22/2021,Matthew Tracy,Susan Poteat,,,2617 Branston Way,Apex,North Carolina,27539,Wake,,,We build passionate leaders and mobilize them to transform their communities through service.,"EIN: 87-4535783, IRS website lists most recent Form 990-N filed for Tax Year 2021. NC Sec State website status is ""Current - Active"". Website is active, 6/28/2022 (Tiffany). Now ""Activate Kids"" and part of ""Activate Good"" - approximately 6/1/2023. Unable to follow as its own entity, marking inactive 6/5/2024 - Cindy","Current - Active on NC site, 501c, last tax filing with the IRS was 2022, website active (Juliana, 5/24/23) NC SoS status ""dissolved"", EIN: 87-4535783, form 990 filed 2023, website inactive, and social media has not been updated in several months (John 5/5/24).",Merger,6/1/2023,,
Actus Therapeutics Inc,,http://www.actustherapeutics.com,C Corporation,7/14/2017,Sheila Mikhail,,Richard Jude Samulski,,870 Martin Luther King Jr Blvd,Chapel Hill,North Carolina,27514,Orange,,(919) 942-0252,"""Actus Therapeutics, a privately held portfolio company of Asklepios BioPharmaceutical, Inc. (AskBio), was incorporated in 2017 to develop new therapies for rare diseases including Pompe disease and epilepsy. Founded by Sheila Mikhail and Phillipe Moullier, Actus will initially pursue gene therapies for Pompe disease based on technology licensed from Dwight Koeberl?s laboratory at Duke University. The Company?s goal is to use targeted, low-dose gene therapies to address this glycogen storage disorder. AskBio?s double strand adeno-associated virus vectors (AAV) have the potential to provide treatment at a lower effective dose and with more cell type specificity and less potential systemic effects than other AVV."" (website, 12/28/2017)","shared with Duke University as another founder; incorporated DE, then NC per Kelly, was a fully owned sub of AskBio, which was reabsorbed back into AskBio prior to the acquisition by Bayer, exit date approximate (Cindy, 10/28/2021) Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.","Actus Therapeutics website is inactive. NC Sec of State site shows ""withdrawn by merger"" status, surviving entity is Asklepios. Bio Pharmaceutical Inc. 5/27/19 - Jen Lai. Website still inactive 6/1/20- JL. Website still inactive- marked ""inactive"" status- JL 7/20/21",Merger,5/26/2021,,
Adamas Nanotechnologies,Adamas Nanotech,https://www.adamasnano.com/,C Corporation,12/7/2010,Gary E. McGuire,,,,8100 Brownleigh Drive,Raleigh,North Carolina,27617,Wake,info@adamasnano.com,919-881- 0500 Ext. 226,Leading development of nanodiamond toward biochemical applications.,,"NC registration and website active (Patrick, 2/28/23) Current - Active on NC site, annual report filed 3/21/23, website active (Juliana, 5/15/23) NC SoS Status ?Current- Active?, AR filed 4/12/24, website active (John 5/31/24).",,,,
AdaptBionic,Adapt Bionics; AdaptBionic,http://www.adaptbionic.com/,LLC - Limited Liability,10/27/2020,Greg Bantista,Chas Feuss,,,502 Yorktown Drive,Chapel Hill,North Carolina,27516,Orange,cfeuss@adaptbionic.com,,"We make smart prosthetics, sports wearables and other adaptive devices. We use data and tech to help injured people return to sports.",,"NC AR- 4/13/21 - JL 7/20/21 NC Sec State website status is ""Current-Active"", website appears inactive - 6-24-22 - Tiffany. Dissolved on NC website, destruction filing 2/28/23; website inactive Juliana (5/15/23) ""Admin. Dissolved"" on NC website, destruction filing 2/28/23; website inactive, company inactive according to founder's linkedin (John 5/31/24).","Liquidation, close down",2/28/2023,,
A Dog's Canvas,,www.adogscanvas.com,LLC - Limited Liability,3/17/2023,Rebecca Schmidt,,,,"510 Meadowmont Village Circle, Suite 113",Chapel Hill,North Carolina,27517,Orange,,,A Dog's Canvas offers a mess free experience for dogs to paint their own masterpiece using their entire bodies. This is a fun and rewarding experience for both the dogs and their families. The families leave with a memorable piece of at that will last forever.,"""Current- Active"" in NC, website inactive, AR not filed yet, legal incorporation date 3/17/2023, additional address of 105 Westside Drive Chapel Hill, NC 27516-4431 listed (John 6/4/24).",,,,,
Advance Access & Delivery,Advance Access and Delivery; AA&D,http://www.advanceaccessanddelivery.org/,501c,6/23/2015,Michael Wilson,,,,7039 CALAIS DR,Durham,North Carolina,27712-9645,Durham,info@advanceaccessanddelivery.org,,"""AA&D is a 501 (c)(3) nonprofit that is working in solidarity with partners around the world to overcome barriers to high quality health care and medicines, particularly for economically and socially marginalized groups."" (website, 10/7/2019)",EIN 47-3531843,"IRS website lists most recent Form 990 filed for Tax Year 2019, website is active, 6-24-22 - Tiffany Current - Active on NC site, annual report not required, website active (Juliana, 5/15/23) ""Current- Active"" on NC SoS, EIN: 47-3531843, form 990 filed 2021, website active (John 5/31/24).",,,,
Advanced Cochlear Diagnostics LLC,,,LLC - Limited Liability,3/31/2016,Craig Buchman,,Craig Buchman,,3110 Edwards Mill Road Suite 300,Raleigh,North Carolina,27612,Wake,,,,incorporated NC; annual report filed NC 4/10/2017; annual report filed NC 4/5/2018,"Annual report 3/20/19, JL 7/12/19. Annual report 4/14/20, no website found- JL 6/1/20. NC Sec State website status is ""Current-Active"", still no website, 6-24-22 - Tiffany. Current - Active on NC site, annual report filed 3/27/23, still no website found (Juliana, 5/16/23) NC SoS Status ?Current- Active?, AR filed 2/15/24, website not found (John 5/31/24).",,,,
Advanced Nutrigenomics,Advanced Nutrigenomix LLC,https://www.advancednutrigenomics.com/,,1/27/2014,Mihai Niculescu,,Mihai Niculescu,,130 Rainbow Ct,Cary,North Carolina,27511,Wake,,(984) 212-0339,"""We offer a variety of consulting services to businesses interested in developing nutrition-related products or nutrigenomic platforms. Our consulting expertise comes from many years of experience achieved in two of the most prestigious nutrition research hubs (UNC Chapel Hill: Department of Nutrition and Nutrition Research Institute)."" (website, 2/23/2021)","Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.","Annual Report 4/12/21-JL 7/20/21. NC Sec State website status is ""Current-Active"", NC AR - 4-6-22, website is active - 6-25-22 - Tiffany. Current - Active on NC site, annual report filed 4/14/23, website active (Juliana, 5/16/23) NC SoS Status ?Current- Active?, AR filed 4/15/24, website active, email updated (John 6/1/24).",,,,
Advanced Recruiting Intelligence Inc,"ARI, ARI Athletics, Advanced Recruiting Intelligence, ARI ? Advanced Recruiting Intelligence, Inc.",https://ariathletics.com/,C Corporation,7/28/2017,Luke Lechner,,,,PO Box 27453,Seattle,Washington,98165,,hello@arirecruiting.com,(512) 400-4298,"ARI (Advanced Recruiting Intelligence) is a CRM software built for college coaches to help them manage their recruits, current athletes, and any communication. We are fully launching on April 5th at the National Women's Basketball Tournament in Tampa, FL and already have over 30+ beta users all from different universities around the country. We created this product by combining our experience as collegiate athletes, college coaches, and recruiting expert to build a product that coaches need and love. Dan Tudor (co-founder) has been in the college athletic industry for over 15 years and runs Tudor Collegiate Strategies and works with hundreds of coaches (dantudor.com). Dan is a Chapel Hill native, and Luke and Gray are both UNC students/alumni. We would love to share our product and our team at this Innovation Showcase and meet other innovators, entrepreneurs, students, and business professionals in the area!","incorporated DE. File Number 6494757. Website is still active, 6-25-22 - Tiffany. https://www.linkedin.com/company/ari-athletics/","Incorporated in DE File Number 6494757, website's blog posted in April that they were still providing products (Juliana, 5/20/23) Incorporated DE file no. 6494757, website active and email/phone updated (John 6/2/24).",,,,
Advanced TeleCare,,,,8/5/2008,Richard Davis,Martha Requard,,,112 Black Oak Place,Chapel Hill,North Carolina,27517,Orange,,,Advanced Telecare was founded to evaluate metabolic control in the setting of a telehealth intervention modified to promote social identity and perceived behavioral control.,"administrative dissolution by NC Dept of Commerce - failure to file annual reports (Cindy, 6/28/2015) Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.",,"Liquidation, close down",3/4/2014,,
Advantageous,"Go Advantageous, Advantageous Learning",www.goadvantageous.com,LLC - Limited Liability,2/2/2021,Jasmine Ruffin,Christopher Ruffin,,,431 W. Franklin St.,Chapel Hill,North Carolina,27516,Orange,info@goadvantageous.com,(919) 283-2649,"Advantageous provides education to the community with a focus on 3 aspects of wellness. Physical, Mental, and Financial.",,"NC Sec State website status is ""Current-Active"", website is active - 6-25-22 - Tiffany. Dissolved on NC website, destruction filing 2/28/23, website still active and says services will return next summer (Juliana 5/16/23). Still in business - Called to confirm (Tiffany, 6-6-24) Admin. Dissolved on NC website, destruction filing 2/28/23, website still active and company active per founder's linkedin (John 6/1/24).",,,,
Aerem Innovations Inc,,https://www.aereminnovations.com/,C Corporation,7/9/2020,Devin Hubbard,,Devin Hubbard,,206 W Franklin St,Chapel Hill,North Carolina,27516,Orange,info@aereminnovations.com,(919) 475-5106,face mask frame for better fit,"License terminated July 2022. Remains UNC Technology startup due to initial licensing. Cindy, 9/27/2022","incorporated DE File Number 3216371. Website is still active, 6-25-22 - Tiffany Current - Active on NC site, no annual reports on file, website active (Juliana, 5/16/23) NC SoS Status ?Current- Active?, AR filed 4/1/24, website active (John 6/1/24).",,,,
Africa Rising,,http://www.africarising.org/,C Corporation,9/27/2005,James C Thomas,,,,200 Weathervane Drive,Carrboro,North Carolina,27510,Orange,,,"""Africa Rising was an attempt to create an alternative to dependency on Western donors. The organization networked 14 African community-based organizations together over an eight year period. The About pages describe the philosophy, history, the people, and why the experiment came to an end."" (Website, 2/15/2016)",,,"Liquidation, close down",12/22/2014,,
AgBiome Inc,,http://agbiome.com/,C Corporation,2/4/2013,Eric Ward,Jeff Dangl,,,104 TW Alexander Dr Bldg 1,Research Triangle Park,North Carolina,27709,Durham,info@agbiome.com,(919) 624-0479,"AgBiome, a Durham, NC-based biotechnology company, works with agribusiness-industry leaders to develop products that use microbes to control soil-borne diseases of greenhouse crops and major row crops.","UNC Connection - 5 co-founders, including UNC Professor Jeff Dangl (http://www.agbiome.com/jeff-dangl/) incorporated DE, NC; annual report amendment filed NC 9/14/2016 AgBiome is closing on/around 4/11/2024, having sold all of its assets to Ginkgo Bioworks and Certis Biologicals (Cindy, 8/30/2024)","Annual report 2/25/19. Jen Lai 7/15/19. Annual report 3/24/20 JL 6/7/20. AR 3/10/21- JL 7/20/21. NC Sec State website status is ""Current-Active"", NC AR - 3-15-22, website is active - 6-25-22 - Tiffany. Current - Active on NC site, annual report filed 2/7/23, website active (Juliana, 5/16/23) NC SoS Status ?Current- Active?, AR filed 3/21/24, website active, email updated (John 6/1/24).",Acquisition,4/11/2024,,
Airlie Investments Inc,Carolina Cottons; Carolina Cottons of Wilmington LLC,http://www.carolinacottons.com/,LLC - Limited Liability,6/20/2014,Ernest Deans Hackney III,Lauren Dawson,,,5813 Wrightsville Avenue Unit 147,Wilmington,North Carolina,28403,New Hanover,carolinacottons@gmail.com,(910) 508-6658,Carolina Cottons is a clothing brand that captures North Carolina's sporting traditions.,"incorporated NC; annual report NC 4/9/2015, name changed 8/10/2017, annual report filed 4/15/2018","Website is not active. Annual report 3/19/19. Appears to be registered in DE as well. Jen Lai 7/13/19. Annual report filed 4/20/20, but website still inactive and no alternatives found. JL 6/7/20. AR 3/29/21 but no active website- JL 7/20/21. NC Sec State website status is ""Current-Active"", NC AR - 2-22-22, website is still inactive - 6-25-22 - Tiffany.","Liquidation, close down",6/30/2022,,
AI Tracking Solutions LLC,AITS; Artificial Intelligence Tracking System,https://aitracker.net/,LLC - Limited Liability,8/2/2016,Samuel Lai,Greg Forest,Samuel Lai,,106 Oak Spring Ct,Carrboro,North Carolina,27510,Durham,,(248) 982-7270,"""We have developed a set of algorithms, based on deep convolutional neural networks, that can enable fully automated analysis of videos capturing nanoscale object movements with exceptional accuracy, far outperforming in speed and accuracies any of the currently available software. We have already successfully deployed the software on Google cloud, and our algorithms are essential to bridge the analytical bandwidth gap between current methods and the big data generated from the latest 3D imaging microscopes."" (from Sam Lai, 5/22/2017)","incorporated DE, then NC ""AI Tracking Solutions is a second spinout from my lab that is jointly founded between Greg Forest, a Distinguished Professor in Applied Math, myself, and our joint postdoc Jay Newby. We have developed a set of algorithms, based on deep convolutional neural networks, that can enable fully automated analysis of videos capturing nanoscale object movements with exceptional accuracy, far outperforming in speed and accuracies any of the currently available software. We have already successfully deployed the software on Google cloud, and our algorithms are essential to bridge the analytical bandwidth gap between current methods and the big data generated from the latest 3D imaging microscopes."" (from Sam Lai, 5/22/2017) Exit 3/15/2024 per PitchBook and BLUE, license terminated 2023 - will become inactive for 2025 metrics - Cindy, 7/27/2024","NC annual report 4/13/19. JL 7/12/19. Annual report 4/5/20, JL 6/7/20. AR 4/5/21 JL 7/20/21. NC Sec State website status is ""Current-Active"", NC AR - 4-2-22, website is active - 6-25-22 - Tiffany. Current - Active on NC site, annual report filed 4/1/23, website active (Juliana, 5/16/23) NC SoS Status ?Withdrawn?, destruction filed 12/28/23, website inactive (John 6/1/24).",,,,
Algorhythmic Labs,Prattica; Songcraft,Songcraftgame.com,LLC - Limited Liability,5/16/2023,Adam Canosa,,,,2130 Eva Kay Way,Hillsborough,North Carolina,27278,Orange,algorhythmiclabs@gmail.com,(336) 710-8996,"""Hello! My name is Adam Canosa. I?m a full-time music educator with 11 years? experience. I?m also the developer of a game-based, adaptive music education platform known as Songcraft. I single-handedly built the initial version of Songcraft for my students as we returned from the COVID pandemic to a classroom in which we were unable to sing or play many instruments. The tool had enormous success with my students which led to my decision to pursue my Masters degree in Educational Entrepreneurship which has been instrumental (pun intended) for learning how to properly design and scale an educational innovation. My goals are to secure more funding to bring Songcraft to market by the 2024-2025 school year. I also aim to develop and carry out a research project utilizing Songcraft as an intervention. Long-term, I am interested in potentially pursuing an edD degree or working towards a Chief Innovation Officer role in a school district."" (Startup website, January 2024)","NC Secretary of State website status is ""Current-Active;""No NC Annual Report yet; Creation Filed on 5/16/23; No website listed - Jenny (12/18/2023) NC SoS Status ?Current- Active?, AR filed 4/11/24, website active (John 6/1/24).",,,,,
Algynomics Inc,,http://www.proove.com,,3/3/2005,Luda Diatchenko,William Maixner,Luda Diatchenko,William Maixner,208 N Columbia Street,Chapel Hill,North Carolina,27514,Orange,info@algynomics.com,(919) 261-7886,Algynomics developed a diagnostic platform to identify individuals at risk for the development of chronic pain to improve targeted prevention and clinical trial patient stratification. Algynomics was acquired by Proove Biosciences in 2016.,"Incorporated DE, then NC OTD notes no longer in business, but no dissolution paperwork located & website still active (though not recently update) (Cindy, 1/13/2016) website was http://www.algynomics.com acquisition completed 5/5/2016",,Acquisition,5/5/2016,,
Alievio,Camras Vision,https://www.alievio.com/,C Corporation,10/22/2010,,,,,2 Davis Drive,Research Triangle Park,North Carolina,27709,Wake,info@alievio.com,,"Ophthalmic medical device company developing a patented new technology for the 67 million glaucoma sufferers. Ophthalmologists are faced with limited surgical treatments due to their instability and unpredictability in controlling glaucoma. As a result, 1 out of 10 patients still lose their vision even when properly treated. Camras Vision wishes to address these problems with their device, the Camras Shunt.",,,,,,
AlightSuccess,It's a new venture from my existing company The Art of Potential,www.alightsuccess.com,LLC - Limited Liability,11/15/2022,Kristin Hiemstra,,,,2430 Honeysuckle Rd.,Chapel Hill,North Carolina,27514,Orange,info@alightsuccess.com,9193607957,"Unlike BetterUp, Ezra and CoachHub, AlightSuccess provides a combination of coaching and personal/professional development curriculums. Eventually we will have 5 certificates - right now 2 are completed - Personal Leadership and Emotional Intelligence",,"NC registration and website active (Patrick, 2/28/23) Current - Active on NC site, no annual report filed, website active (Juliana, 5/16/23) NC SoS Status ?Current- Active?, AR filed 3/27/24, website active, email updated (John 6/1/24).",,,,
Alkemere LLC,,https://alkemerellc.com/,LLC - Limited Liability,1/7/2015,Kathleen M Abbey,,,,107 Lyme Ct,Garner,North Carolina,27529,Wake,info@alkemere.com,919-280-4141,"Alkemere, LLC was formed in North Carolina on January 7, 2015, by founding members. Our members are chemists with a breadth of industrial, academic, and government research experiences. Our Mission: Our members desire to bring select, unavailable chemicals, particularly polymers and their building block monomers, to the business-to-business market targeted to enhance the performance of existing materials at a reasonable cost.","NC Secretary of State website status is ""Current-Active;"" NC Annual Report Filed on 3/20/23; Active website - Jenny (1/3/2024) NC SoS Status ?Current- Active?, AR filed 3/21/24, website active (John 6/1/24).",,,,,
Allotropica Technologies Inc,,https://allotropicatechnologies.com/,C Corporation,7/29/2008,Edward Samulski,Theo Dingemans,Edward Samulski,Theo Dingemans,601 W Rosemary St Unit 503,Chapel Hill,North Carolina,27516,Orange,contact@allotropicatechnologies.com,(919) 962-1610,"Chapel Hill, NC-based Allotropica Technologies offers a proprietary manufacturing process for the high-volume, low-cost fabrication of graphene (carbon), with an initial market focus on electrodes for ultracapacitors. Allotropica's unique, high-value, enabling component can readily be incorporated into existing manufacturing processes of established ultracapacitors.",incorporated NC; annual report NC 2/13/2017,"NC annual report 4/3/19. Jen Lai 7/14/19. Annual report 1/18/20, JL, 6/7/20. AR 4/8/21 - JL 7/20/21. NC Sec State website status is ""Current-Active"", NC AR - 2-28-22, website is active - 6-25-22 - Tiffany. Current - Active on NC Site, last NC Annual Report Filed 2/28/22, website active (Juliana, 5/18/23) NC SoS Status ?Active- Not Current?, AR filed 2/28/24, website active, company active according to founder's linkedin (John 6/1/24).",,,,
